service_name,price,description
Interior Detailing,400.00,Complete interior cleaning
Exterior Detailing,350.00,Complete exterior wash and wax
Ceramic Coating Application,2000.00,Apply protective ceramic coating
12V Battery Replacement,250.00,Replace auxiliary 12V battery
Fuse Box Inspection,200.00,Check and replace blown fuses
Wiring Harness Repair,800.00,Repair damaged wiring
ECU Software Reset,150.00,Reset electronic control unit
Diagnostic Scan,100.00,Full vehicle diagnostic scan
Pre-Purchase Inspection,500.00,Comprehensive pre-buy inspection
Safety Recall Service,0.00,Manufacturer recall repair
Warranty Inspection,200.00,Warranty claim inspection
Emergency Roadside Service,300.00,On-site emergency repair
Engine Service,1500.00,General engine and drive system service
Oil Change,800.00,Lubrication fluid replacement service
Trip Charge,2000.00,Trip-related service and logistics charge
Change headlight,0.00,Auto-added for service task: Change headlight
Side mirror fix,100.00,Auto-added from issue #3 category: Side mirror fix
Refill coolent oil,0.00,Auto-added for service task: Refill coolent oil
Tyre Pressure,100.00,Auto-added from issue #2 category: Tyre Pressure
Replace brake shoes,0.00,Auto-added for service task: Replace brake shoes
Side mirror fix,100.00,Auto-added from issue #3 category: Side mirror fix
Wheel alignment,400.00,Auto-added from issue #7 category: Wheel alignment
Tyre Pressure,100.00,Auto-added from issue #6 category: Tyre Pressure
Refill coolent oil,500.00,Auto-added from issue #5 category: Refill coolent oil
Replace brake shoes,100.00,Auto-added from issue #4 category: Replace brake shoes
Side mirror fix,100.00,Auto-added from issue #3 category: Side mirror fix
Wheel alignment,400.00,Auto-added from issue #7 category: Wheel alignment
Tyre Pressure,100.00,Auto-added from issue #6 category: Tyre Pressure
Refill coolent oil,500.00,Auto-added from issue #5 category: Refill coolent oil
Replace brake shoes,100.00,Auto-added from issue #4 category: Replace brake shoes
Side mirror fix,100.00,Auto-added from issue #3 category: Side mirror fix
Wheel alignment,220.00,Auto-added from issue #7 category: Wheel alignment
Tyre Pressure,100.00,Auto-added from issue #6 category: Tyre Pressure
Refill coolent oil,500.00,Auto-added from issue #5 category: Refill coolent oil
Replace brake shoes,200.00,Auto-added from issue #4 category: Replace brake shoes
Side mirror fix,100.00,Auto-added from issue #3 category: Side mirror fix
Wheel alignment,220.00,Auto-added from issue #7 category: Wheel alignment
Tyre Pressure,100.00,Auto-added from issue #6 category: Tyre Pressure
Refill coolent oil,500.00,Auto-added from issue #5 category: Refill coolent oil
Replace brake shoes,200.00,Auto-added from issue #4 category: Replace brake shoes
Side mirror fix,100.00,Auto-added from issue #3 category: Side mirror fix
Wheel alignment,220.00,Auto-added from issue #7 category: Wheel alignment
Tyre Pressure,100.00,Auto-added from issue #6 category: Tyre Pressure
Refill coolent oil,500.00,Auto-added from issue #5 category: Refill coolent oil
Replace brake shoes,200.00,Auto-added from issue #4 category: Replace brake shoes
Side mirror fix,100.00,Auto-added from issue #3 category: Side mirror fix
Wheel alignment,220.00,Auto-added from issue #7 category: Wheel alignment
Tyre Pressure,100.00,Auto-added from issue #6 category: Tyre Pressure
Refill coolent oil,500.00,Auto-added from issue #5 category: Refill coolent oil
Replace brake shoes,200.00,Auto-added from issue #4 category: Replace brake shoes
Side mirror fix,100.00,Auto-added from issue #3 category: Side mirror fix
Wheel alignment,220.00,Auto-added from issue #7 category: Wheel alignment
Tyre Pressure,100.00,Auto-added from issue #6 category: Tyre Pressure
Refill coolent oil,500.00,Auto-added from issue #5 category: Refill coolent oil
Replace brake shoes,200.00,Auto-added from issue #4 category: Replace brake shoes
Side mirror fix,100.00,Auto-added from issue #3 category: Side mirror fix
Windshield Replacement,1500.00,Auto-added from issue #8 category: Windshield Replacement
Wheel alignment,220.00,Auto-added from issue #7 category: Wheel alignment
Tyre Pressure,100.00,Auto-added from issue #6 category: Tyre Pressure
Refill coolent oil,500.00,Auto-added from issue #5 category: Refill coolent oil
Replace brake shoes,200.00,Auto-added from issue #4 category: Replace brake shoes
Side mirror fix,100.00,Auto-added from issue #3 category: Side mirror fix
Windshield Replacement,1500.00,Auto-added from issue #8 category: Windshield Replacement
Wheel alignment,220.00,Auto-added from issue #7 category: Wheel alignment
Tyre Pressure,100.00,Auto-added from issue #6 category: Tyre Pressure
Refill coolent oil,500.00,Auto-added from issue #5 category: Refill coolent oil
Replace brake shoes,200.00,Auto-added from issue #4 category: Replace brake shoes
